# x/m, y/m, cos, sin, vel/(m/s)
-50.2078, -67.1349, 0.84557, -0.533865, 7.7451
-50.1459, -67.1674, 0.846478, -0.532424, 7.7451
-50.084, -67.1999, 0.847383, -0.530982, 7.7451
-49.9945, -67.2466, 0.848686, -0.528897, 7.7451
-49.9462, -67.2717, 0.849386, -0.527772, 7.7451
-49.8841, -67.3038, 0.850284, -0.526324, 7.7451
-49.815, -67.3394, 0.851278, -0.524714, 7.7451
-49.7598, -67.3677, 0.852072, -0.523425, 7.7451
-49.6975, -67.3995, 0.852962, -0.521972, 7.7451
-49.3848, -67.556, 0.857378, -0.514687, 7.7451
-49.3848, -67.556, 0.857378, -0.514687, 7.7451
-49.3848, -67.556, 0.857378, -0.514687, 7.7451
-49.3848, -67.556, 0.857378, -0.514687, 7.7451
-49.3709, -67.5629, 0.857573, -0.514362, 7.7451
-49.3013, -67.5975, 0.858545, -0.512738, 7.7451
-49.2317, -67.632, 0.859514, -0.511113, 7.7451
-49.155, -67.6697, 0.860575, -0.509323, 7.7451
-49.0922, -67.7005, 0.861442, -0.507857, 7.7451
-49.0364, -67.7278, 0.862209, -0.506553, 7.7451
-48.9735, -67.7584, 0.86307, -0.505084, 7.7451
-48.9106, -67.7888, 0.863929, -0.503613, 7.7451
-48.8406, -67.8226, 0.864881, -0.501977, 7.7451
-48.7706, -67.8562, 0.865829, -0.500341, 7.7451
-48.6935, -67.893, 0.866868, -0.498538, 7.7451
-48.6303, -67.923, 0.867715, -0.497062, 7.7451
-48.5671, -67.9529, 0.86856, -0.495584, 7.7451
-48.4968, -67.9859, 0.869496, -0.49394, 7.7451
-48.4335, -68.0156, 0.870336, -0.492459, 7.7451
-48.3701, -68.0451, 0.871172, -0.490977, 7.7451
-48.3067, -68.0746, 0.872007, -0.489494, 7.7451
-48.2432, -68.1039, 0.872839, -0.488009, 7.7451
-48.1727, -68.1364, 0.873761, -0.486356, 7.7451
-48.102, -68.1687, 0.874679, -0.484703, 7.7451
-48.0172, -68.2073, 0.875776, -0.482717, 7.7451
-47.9747, -68.2266, 0.876323, -0.481723, 7.7451
-47.911, -68.2554, 0.877142, -0.480231, 7.7451
-47.8402, -68.2872, 0.878048, -0.478572, 7.7451
-47.7621, -68.3221, 0.879042, -0.476745, 7.7451
-47.6983, -68.3505, 0.879852, -0.475248, 7.7451
-47.6414, -68.3756, 0.88057, -0.473916, 7.7451
-47.5703, -68.407, 0.881465, -0.47225, 7.7451
-47.4992, -68.4382, 0.882356, -0.470582, 7.7451
-47.428, -68.4692, 0.883245, -0.468912, 7.7451
-47.3567, -68.5001, 0.88413, -0.467241, 7.7451
-47.2854, -68.5309, 0.885012, -0.465567, 7.7451
-47.214, -68.5616, 0.885891, -0.463893, 7.7451
-47.1497, -68.5891, 0.88668, -0.462384, 7.7451
-47.0782, -68.6194, 0.887553, -0.460706, 7.7451
-46.9924, -68.6557, 0.888596, -0.45869, 7.7451
-46.9422, -68.6768, 0.889203, -0.457513, 7.7451
-46.8706, -68.7068, 0.890067, -0.45583, 7.7451
-46.7989, -68.7367, 0.890927, -0.454146, 7.7451
-46.6408, -68.8018, 0.89281, -0.450434, 7.7451
-46.6408, -68.8018, 0.89281, -0.450434, 7.7451
-46.6049, -68.8165, 0.893236, -0.449589, 7.7451
-46.5329, -68.8459, 0.894085, -0.447898, 7.7451
-46.4682, -68.8722, 0.894846, -0.446375, 7.7451
-46.4034, -68.8984, 0.895604, -0.444851, 7.7451
-46.3385, -68.9245, 0.89636, -0.443326, 7.7451
-46.2664, -68.9533, 0.897198, -0.441629, 7.7451
-46.2086, -68.9763, 0.897865, -0.440271, 7.7451
-46.1364, -69.005, 0.898696, -0.438572, 7.7451
-46.0714, -69.0306, 0.899441, -0.437042, 7.7451
-45.999, -69.059, 0.900266, -0.43534, 7.7451
-45.9267, -69.0872, 0.901088, -0.433637, 7.7451
-45.8542, -69.1153, 0.901905, -0.431934, 7.7451
-45.7817, -69.1432, 0.90272, -0.430228, 7.7451
-45.7165, -69.1683, 0.903451, -0.428691, 7.7451
-45.6439, -69.1959, 0.904259, -0.426984, 7.7451
-45.5858, -69.218, 0.904904, -0.425616, 7.7451
-45.5131, -69.2454, 0.905707, -0.423905, 7.7451
-45.4404, -69.2728, 0.906506, -0.422193, 7.7451
-45.3676, -69.2999, 0.907302, -0.42048, 7.7451
-45.2948, -69.327, 0.908094, -0.418766, 7.7451
-45.1927, -69.3645, 0.909198, -0.416363, 7.7451
-45.1636, -69.3752, 0.909513, -0.415676, 7.7451
-45.0906, -69.4019, 0.910296, -0.413959, 7.7451
-45.0249, -69.4258, 0.910998, -0.412411, 7.7451
-44.9518, -69.4522, 0.911775, -0.410691, 7.7451
-44.8787, -69.4784, 0.912548, -0.40897, 7.7451
-44.8055, -69.5045, 0.913318, -0.407247, 7.7451
-44.7323, -69.5305, 0.914085, -0.405522, 7.7451
-44.6664, -69.5538, 0.914773, -0.403969, 7.7451
-44.5857, -69.582, 0.915609, -0.402069, 7.7451
-44.4903, -69.6152, 0.916593, -0.399822, 7.7451
-44.4463, -69.6305, 0.917045, -0.398784, 7.7451
-44.3802, -69.6533, 0.917721, -0.397226, 7.7451
-44.3141, -69.6759, 0.918394, -0.395667, 7.7451
-44.2111, -69.7109, 0.919436, -0.393239, 7.7451
-44.1743, -69.7234, 0.919807, -0.392371, 7.7451
-44.1007, -69.7482, 0.920546, -0.390634, 7.7451
-44.0344, -69.7704, 0.921209, -0.389069, 7.7451
-43.9607, -69.7949, 0.921941, -0.38733, 7.7451
-43.8943, -69.8168, 0.922598, -0.385762, 7.7451
-43.8205, -69.8411, 0.923325, -0.38402, 7.7451
-43.7466, -69.8652, 0.924049, -0.382275, 7.7451
-43.6727, -69.8892, 0.924769, -0.380529, 7.7451
-43.6062, -69.9106, 0.925414, -0.378957, 7.7451
-43.5322, -69.9343, 0.926129, -0.377207, 7.7451
-43.4656, -69.9556, 0.926769, -0.375632, 7.7451
-43.3915, -69.979, 0.927477, -0.373881, 7.7451
-43.3174, -70.0023, 0.928181, -0.372128, 7.7451
-43.2655, -70.0185, 0.928673, -0.3709, 7.7451
-43.1988, -70.0393, 0.929302, -0.36932, 7.7451
-43.1171, -70.0645, 0.930068, -0.367388, 7.7451
-43.0428, -70.0873, 0.930761, -0.365629, 7.7451
-42.976, -70.1077, 0.931382, -0.364044, 7.7451
-42.9091, -70.1279, 0.932, -0.362459, 7.7451
-42.8347, -70.1503, 0.932683, -0.360697, 7.7451
-42.7453, -70.177, 0.933499, -0.358579, 7.7451
-42.6932, -70.1925, 0.933973, -0.357343, 7.7451
-42.6187, -70.2144, 0.934647, -0.355576, 7.7451
-42.5292, -70.2406, 0.935453, -0.353452, 7.7451
-42.4695, -70.2579, 0.935986, -0.352036, 7.7451
-42.4024, -70.2774, 0.936584, -0.350443, 7.7451
-42.3277, -70.2988, 0.937246, -0.34867, 7.7451
-42.2605, -70.3179, 0.937838, -0.347072, 7.7451
-42.1932, -70.337, 0.938427, -0.345476, 7.7451
-42.1184, -70.358, 0.939079, -0.343701, 7.7451
-42.0436, -70.3789, 0.939728, -0.341924, 7.7451
-41.9687, -70.3997, 0.940373, -0.340146, 7.7451
-41.9013, -70.4182, 0.94095, -0.338545, 7.7451
-41.8414, -70.4346, 0.941462, -0.33712, 7.7451
-41.7589, -70.457, 0.942161, -0.335162, 7.7451
-41.6914, -70.4752, 0.94273, -0.333557, 7.7451
-41.6163, -70.4953, 0.943359, -0.331773, 7.7451
-41.5412, -70.5152, 0.943985, -0.329988, 7.7451
-41.4736, -70.533, 0.944545, -0.328381, 7.7451
-41.3985, -70.5527, 0.945165, -0.326594, 7.7451
-41.3383, -70.5683, 0.945658, -0.325164, 7.7451
-41.2556, -70.5897, 0.946332, -0.323196, 7.7451
-41.1577, -70.6146, 0.947124, -0.320869, 7.7451
-41.1126, -70.6261, 0.947487, -0.319794, 7.7451
-41.0448, -70.6432, 0.94803, -0.31818, 7.7451
-40.9694, -70.6621, 0.94863, -0.316387, 7.7451
-40.9016, -70.6789, 0.949167, -0.314772, 7.7451
-40.8337, -70.6957, 0.949702, -0.313155, 7.7451
-40.7582, -70.7141, 0.950292, -0.311359, 7.7451
-40.6903, -70.7306, 0.950821, -0.309741, 7.7451
-40.5845, -70.756, 0.951638, -0.307221, 7.7451
-40.5467, -70.765, 0.951928, -0.306321, 7.7451
-40.4711, -70.7829, 0.952506, -0.304521, 7.7451
-40.3955, -70.8007, 0.953081, -0.302717, 7.7451
-40.335, -70.8148, 0.953538, -0.301273, 7.7451
-40.2593, -70.8323, 0.954106, -0.29947, 7.7451
-40.1912, -70.848, 0.954614, -0.297844, 7.7451
-40.123, -70.8635, 0.95512, -0.296218, 7.7451
-40.0548, -70.8789, 0.955623, -0.294593, 7.7451
-39.9714, -70.8976, 0.956234, -0.292602, 7.7451
-39.9031, -70.9127, 0.956731, -0.290973, 7.7451
-39.8349, -70.9277, 0.957225, -0.289344, 7.7451
-39.7666, -70.9427, 0.957717, -0.287713, 7.7451
-39.6906, -70.9591, 0.958259, -0.285903, 7.7451
-39.6071, -70.977, 0.958851, -0.283909, 7.7451
-39.5311, -70.9931, 0.959387, -0.282094, 7.7451
-39.4627, -71.0075, 0.959866, -0.280461, 7.7451
-39.3866, -71.0234, 0.960394, -0.278645, 7.7451
-39.3181, -71.0376, 0.960867, -0.27701, 7.7451
-39.242, -71.0532, 0.961389, -0.275193, 7.7451
-39.1735, -71.0671, 0.961856, -0.273557, 7.7451
-39.105, -71.0809, 0.96232, -0.271921, 7.7451
-39.0288, -71.0961, 0.962832, -0.270101, 7.7451
-38.9602, -71.1096, 0.96329, -0.268464, 7.7451
-38.884, -71.1245, 0.963795, -0.266643, 7.7451
-38.8153, -71.1378, 0.964248, -0.265002, 7.7451
-38.739, -71.1525, 0.964747, -0.26318, 7.7451
-38.6703, -71.1655, 0.965193, -0.26154, 7.7451
-38.594, -71.1799, 0.965685, -0.259716, 7.7451
-38.5253, -71.1927, 0.966125, -0.258075, 7.7451
-38.4489, -71.2068, 0.96661, -0.256251, 7.7451
-38.3725, -71.2208, 0.967092, -0.254425, 7.7451
-38.3113, -71.2319, 0.967476, -0.252965, 7.7451
-38.2272, -71.2469, 0.967999, -0.250955, 7.7451
-38.1507, -71.2604, 0.968471, -0.249128, 7.7451
-38.0818, -71.2725, 0.968892, -0.247482, 7.7451
-38.0129, -71.2845, 0.969311, -0.245837, 7.7451
-37.9364, -71.2976, 0.969773, -0.244008, 7.7451
-37.8751, -71.308, 0.97014, -0.242544, 7.7451
-37.7908, -71.3222, 0.970642, -0.24053, 7.7451
-37.7142, -71.3349, 0.971094, -0.238698, 7.7451
-37.6375, -71.3475, 0.971542, -0.236865, 7.7451
-37.5685, -71.3587, 0.971943, -0.235215, 7.7451
-37.4918, -71.371, 0.972385, -0.233381, 7.7451
-37.4228, -71.3819, 0.97278, -0.23173, 7.7451
-37.346, -71.3939, 0.973215, -0.229895, 7.7451
-37.2769, -71.4046, 0.973605, -0.228242, 7.7451
-37.2078, -71.4152, 0.973991, -0.226588, 7.7451
-37.131, -71.4268, 0.974416, -0.22475, 7.7451
-37.0619, -71.4372, 0.974797, -0.223095, 7.7451
-36.985, -71.4485, 0.975216, -0.221257, 7.7451
-36.9081, -71.4597, 0.975631, -0.219416, 7.7451
-36.8389, -71.4697, 0.976003, -0.217759, 7.7451
-36.762, -71.4806, 0.976412, -0.215918, 7.7451
-36.6851, -71.4914, 0.976817, -0.214075, 7.7451
-36.6081, -71.502, 0.977219, -0.212232, 7.7451
-36.5312, -71.5125, 0.977618, -0.210388, 7.7451
-36.4619, -71.5218, 0.977974, -0.208727, 7.7451
-36.3849, -71.532, 0.978366, -0.206882, 7.7451
-36.3078, -71.5421, 0.978755, -0.205035, 7.7451
-36.2385, -71.551, 0.979101, -0.203373, 7.7451
-36.1614, -71.5608, 0.979484, -0.201524, 7.7451
-36.092, -71.5695, 0.979825, -0.19986, 7.7451
-36.0149, -71.579, 0.9802, -0.19801, 7.7451
-35.9224, -71.5902, 0.980646, -0.195787, 7.7451
-35.8684, -71.5966, 0.980904, -0.194492, 7.7451
-35.7913, -71.6057, 0.98127, -0.192639, 7.7451
-35.6986, -71.6164, 0.981704, -0.190414, 7.7451
-35.6446, -71.6226, 0.981955, -0.189116, 7.7451
-35.5751, -71.6304, 0.982275, -0.187447, 7.7451
-35.5056, -71.6381, 0.982592, -0.185777, 7.7451
-35.4284, -71.6465, 0.982941, -0.183921, 7.7451
-35.3512, -71.6547, 0.983287, -0.182064, 7.7451
-35.2816, -71.662, 0.983595, -0.180392, 7.7451
-35.2121, -71.6692, 0.9839, -0.178719, 7.7451
-35.1348, -71.6771, 0.984236, -0.176861, 7.7451
-35.0575, -71.6848, 0.984568, -0.175001, 7.7451
-34.9879, -71.6916, 0.984865, -0.173325, 7.7451
-34.9106, -71.699, 0.98519, -0.171464, 7.7451
-34.841, -71.7056, 0.985481, -0.169788, 7.7451
-34.7714, -71.712, 0.985768, -0.168112, 7.7451
-34.694, -71.719, 0.986084, -0.166248, 7.7451
-34.6089, -71.7265, 0.986428, -0.164196, 7.7451
-34.547, -71.7319, 0.986675, -0.162704, 7.7451
-34.4695, -71.7385, 0.986981, -0.160839, 7.7451
-34.3999, -71.7443, 0.987253, -0.15916, 7.7451
-34.3224, -71.7506, 0.987552, -0.157294, 7.7451
-34.2528, -71.7562, 0.987818, -0.155614, 7.7451
-34.1753, -71.7622, 0.98811, -0.153747, 7.7451
-34.1056, -71.7675, 0.98837, -0.152066, 7.7451
-34.0359, -71.7727, 0.988628, -0.150384, 7.7451
-33.9351, -71.7799, 0.988994, -0.147955, 7.7451
-33.9041, -71.7821, 0.989106, -0.147207, 7.7451
-33.8266, -71.7875, 0.989382, -0.145337, 7.7451
-33.7181, -71.7947, 0.989763, -0.142721, 7.7451
-33.6716, -71.7978, 0.989924, -0.141598, 7.7451
-33.5941, -71.8027, 0.99019, -0.139727, 7.7451
-33.5243, -71.807, 0.990426, -0.138044, 7.7451
-33.4467, -71.8117, 0.990685, -0.136174, 7.7451
-33.3694, -71.8161, 0.99094, -0.134306, 7.69748
-33.3002, -71.82, 0.991165, -0.132636, 7.65462
-33.2236, -71.8242, 0.99141, -0.130792, 7.6563
-33.1546, -71.8279, 0.991627, -0.129139, 7.65917
-33.0855, -71.8315, 0.991841, -0.12748, 7.66199
-33.0087, -71.8353, 0.992076, -0.125637, 7.66501
-32.9396, -71.8387, 0.992285, -0.123979, 7.66765
-32.8705, -71.8419, 0.992491, -0.122319, 7.67018
-32.8013, -71.845, 0.992694, -0.120656, 7.67264
-32.7244, -71.8483, 0.992917, -0.118809, 7.67527
-32.6244, -71.8523, 0.993202, -0.116406, 7.67858
-32.5782, -71.8541, 0.993331, -0.115296, 7.68005
-32.5012, -71.857, 0.993544, -0.113444, 7.68239
-32.4319, -71.8595, 0.993734, -0.111775, 7.68445
-32.3548, -71.8621, 0.99394, -0.10992, 7.68665
-32.2855, -71.8643, 0.994124, -0.108249, 7.68857
-32.2084, -71.8666, 0.994324, -0.106392, 7.69062
-32.139, -71.8686, 0.994502, -0.104721, 7.6924
-32.0618, -71.8707, 0.994696, -0.102861, 7.69431
-31.9847, -71.8726, 0.994886, -0.101001, 7.69616
-31.9152, -71.8742, 0.995055, -0.0993264, 7.69776
-31.8535, -71.8755, 0.995203, -0.0978364, 7.69914
-31.7763, -71.8771, 0.995384, -0.0959741, 7.7008
-31.699, -71.8784, 0.995562, -0.094112, 7.70241
-31.6295, -71.8796, 0.995719, -0.0924337, 7.7038
-31.5522, -71.8807, 0.99589, -0.0905685, 7.7053
-31.4827, -71.8816, 0.996041, -0.0888897, 7.7066
-31.4054, -71.8824, 0.996206, -0.087023, 7.70799
-31.3281, -71.8831, 0.996368, -0.0851555, 7.70934
-31.2585, -71.8836, 0.99651, -0.083475, 7.71051
-31.1889, -71.8839, 0.996649, -0.0817932, 7.71164
-31.1115, -71.8842, 0.996801, -0.0799235, 7.71285
-31.0419, -71.8843, 0.996934, -0.0782408, 7.7139
-30.9645, -71.8843, 0.997079, -0.0763705, 7.71503
-30.8948, -71.8842, 0.997207, -0.0746873, 7.71601
-30.8174, -71.8839, 0.997345, -0.0728161, 7.71706
-30.7478, -71.8836, 0.997467, -0.0711305, 7.71798
-30.6626, -71.8829, 0.997612, -0.06907, 7.71906
-30.5929, -71.8823, 0.997727, -0.0673835, 7.71991
-30.5155, -71.8815, 0.997852, -0.0655089, 7.72082
-30.4458, -71.8806, 0.997961, -0.0638211, 7.72161
-30.3684, -71.8795, 0.99808, -0.0619456, 7.72246
-30.2909, -71.8782, 0.998194, -0.0600699, 7.72328
-30.2212, -71.8769, 0.998294, -0.0583806, 7.72399
-30.1438, -71.8754, 0.998402, -0.0565031, 7.72475
-30.074, -71.8739, 0.998497, -0.0548143, 7.72542
-30.0043, -71.8722, 0.998588, -0.0531231, 7.72606
-29.9191, -71.8701, 0.998696, -0.0510555, 7.72681
-29.8416, -71.868, 0.99879, -0.0491762, 7.72748
-29.7719, -71.8659, 0.998872, -0.047484, 7.72805
-29.6944, -71.8635, 0.99896, -0.0456035, 7.72867
-29.6247, -71.8613, 0.999035, -0.0439105, 7.7292
-29.5395, -71.8583, 0.999124, -0.0418396, 7.72984
-29.4775, -71.856, 0.999186, -0.0403336, 7.73028
-29.4, -71.8531, 0.99926, -0.0384511, 7.73081
-29.3225, -71.85, 0.999331, -0.0365679, 7.73133
-29.2683, -71.8477, 0.999379, -0.0352499, 7.73168
-29.183, -71.844, 0.999449, -0.0331768, 7.73221
-29.1133, -71.8409, 0.999504, -0.0314802, 7.73263
-29.0436, -71.8376, 0.999556, -0.0297839, 7.73303
-28.9816, -71.8346, 0.9996, -0.0282754, 7.73338
-28.9119, -71.8311, 0.999647, -0.0265789, 7.73376
-28.8344, -71.8271, 0.999695, -0.0246927, 7.73417
-28.7647, -71.8233, 0.999736, -0.0229937, 7.73453
-28.6872, -71.819, 0.999777, -0.0211069, 7.73491
-28.6098, -71.8145, 0.999815, -0.0192199, 7.73528
-28.5401, -71.8104, 0.999846, -0.0175213, 7.7356
-28.4471, -71.8047, 0.999884, -0.0152556, 7.73601
-28.3774, -71.8003, 0.999908, -0.0135568, 7.73631
-28.3, -71.7952, 0.999932, -0.0116687, 7.73662
-28.2303, -71.7906, 0.99995, -0.00996842, 7.7369
-28.1529, -71.7853, 0.999967, -0.00807974, 7.73719
-28.0832, -71.7803, 0.99998, -0.00637939, 7.73745
-28.0136, -71.7753, 0.999989, -0.00467949, 7.7377
-27.9439, -71.7702, 0.999996, -0.0029791, 7.73794
-27.8742, -71.7649, 0.999999, -0.00127823, 7.73817
-27.7969, -71.7589, 1, 0.000610654, 7.73842
-27.7195, -71.7528, 0.999997, 0.00250036, 7.73866
-27.6344, -71.7458, 0.99999, 0.00457935, 7.73892
-27.5648, -71.74, 0.99998, 0.00627925, 7.73912
-27.4951, -71.7341, 0.999968, 0.00798009, 7.73932
-27.4178, -71.7274, 0.999951, 0.00987019, 7.73952
-27.3482, -71.7212, 0.999933, 0.011571, 7.7397
-27.2709, -71.7142, 0.999909, 0.0134615, 7.7399
-27.2013, -71.7078, 0.999885, 0.0151631, 7.74007
-27.1318, -71.7013, 0.999858, 0.0168643, 7.74023
-27.0545, -71.6939, 0.999824, 0.0187542, 7.74041
-26.9849, -71.6871, 0.999791, 0.0204561, 7.74056
-26.9154, -71.6802, 0.999754, 0.0221571, 7.74071
-26.8381, -71.6724, 0.999711, 0.0240473, 7.74086
-26.7686, -71.6652, 0.999668, 0.0257505, 7.741
-26.6991, -71.658, 0.999623, 0.0274517, 7.74114
-26.6296, -71.6506, 0.999575, 0.0291524, 7.74126
-26.5524, -71.6422, 0.999518, 0.0310436, 7.7414
-26.4753, -71.6337, 0.999458, 0.0329343, 7.74154
-26.3981, -71.6251, 0.999393, 0.0348238, 7.74166
-26.3287, -71.6171, 0.999333, 0.0365255, 7.74178
-26.2515, -71.6082, 0.999262, 0.0384168, 7.7419
-26.1821, -71.6001, 0.999195, 0.0401168, 7.742
-26.105, -71.5909, 0.999117, 0.0420064, 7.74211
-26.0356, -71.5825, 0.999044, 0.0437081, 7.74221
-25.9585, -71.573, 0.99896, 0.0455978, 7.74231
-25.8815, -71.5633, 0.998872, 0.0474883, 7.74241
-25.7967, -71.5526, 0.998771, 0.0495682, 7.74252
-25.7197, -71.5426, 0.998675, 0.0514579, 7.74261
-25.6504, -71.5336, 0.998586, 0.0531588, 7.7427
-25.5734, -71.5234, 0.998484, 0.0550486, 7.74278
-25.5041, -71.514, 0.998388, 0.0567506, 7.74286
-25.4272, -71.5036, 0.998279, 0.0586391, 7.74294
-25.358, -71.494, 0.998178, 0.0603398, 7.74301
-25.2887, -71.4843, 0.998074, 0.0620403, 7.74308
-25.2118, -71.4734, 0.997954, 0.0639291, 7.74315
-25.1426, -71.4635, 0.997844, 0.0656279, 7.74321
-25.0812, -71.4546, 0.997744, 0.0671375, 7.74327
-25.0043, -71.4433, 0.997615, 0.0690257, 7.74333
-24.9198, -71.4307, 0.997469, 0.0711025, 7.7434
-24.843, -71.4191, 0.997333, 0.0729892, 7.74346
-24.7739, -71.4085, 0.997207, 0.0746868, 7.74352
-24.6972, -71.3967, 0.997064, 0.0765735, 7.74357
-24.6281, -71.3859, 0.996932, 0.0782712, 7.74362
-24.5514, -71.3737, 0.996782, 0.0801559, 7.74368
-24.4747, -71.3614, 0.996629, 0.0820394, 7.74373
-24.4057, -71.3503, 0.996488, 0.0837349, 7.74377
-24.3367, -71.339, 0.996344, 0.0854297, 7.74382
-24.2601, -71.3263, 0.996181, 0.0873118, 7.74386
-24.1911, -71.3147, 0.996031, 0.0890056, 7.7439
-24.1145, -71.3018, 0.995861, 0.0908867, 7.74395
-24.038, -71.2887, 0.995688, 0.0927689, 7.74399
-23.9844, -71.2794, 0.995564, 0.0940849, 7.74402
-23.9155, -71.2674, 0.995403, 0.0957767, 7.74405
-23.8314, -71.2526, 0.995202, 0.0978445, 7.74409
-23.7702, -71.2417, 0.995053, 0.0993473, 7.74412
-23.6861, -71.2265, 0.994844, 0.101413, 7.74416
-23.6173, -71.214, 0.994671, 0.103102, 7.74419
-23.5486, -71.2014, 0.994494, 0.104792, 7.74422
-23.4722, -71.1872, 0.994294, 0.10667, 7.74425
-23.4035, -71.1743, 0.994112, 0.108359, 7.74428
-23.3348, -71.1614, 0.993926, 0.110047, 7.74431
-23.2661, -71.1482, 0.993738, 0.111737, 7.74433
-23.1822, -71.132, 0.993504, 0.113801, 7.74436
-23.1136, -71.1187, 0.993309, 0.115489, 7.74439
-23.0374, -71.1037, 0.993089, 0.117364, 7.74441
-22.9688, -71.0901, 0.992888, 0.119051, 7.74443
-22.8927, -71.0748, 0.992662, 0.120925, 7.74446
-22.8165, -71.0594, 0.992432, 0.122799, 7.74448
-22.748, -71.0454, 0.992222, 0.124484, 7.7445
-22.672, -71.0297, 0.991985, 0.126358, 7.74452
-22.6035, -71.0155, 0.991768, 0.128044, 7.74454
-22.5351, -71.0011, 0.99155, 0.129728, 7.74456
-22.4591, -70.9851, 0.991303, 0.1316, 7.74458
-22.3907, -70.9705, 0.991078, 0.133287, 7.7446
-22.3148, -70.9541, 0.990824, 0.135158, 7.74461
-22.2389, -70.9376, 0.990567, 0.137029, 7.74463
-22.1327, -70.9142, 0.990201, 0.139649, 7.74465
-22.1099, -70.9092, 0.990122, 0.14021, 7.74466
-22.0265, -70.8906, 0.989828, 0.142267, 7.74468
-21.9659, -70.8769, 0.989612, 0.143764, 7.74469
-21.8901, -70.8598, 0.989339, 0.145634, 7.7447
-21.8068, -70.8407, 0.989034, 0.147691, 7.74472
-21.7463, -70.8268, 0.988809, 0.149185, 7.74473
-21.6706, -70.8092, 0.988526, 0.151054, 7.74474
-21.6025, -70.7932, 0.988267, 0.152736, 7.74476
-21.5269, -70.7754, 0.987977, 0.154603, 7.74477
-21.4514, -70.7574, 0.987683, 0.15647, 7.74478
-21.3758, -70.7392, 0.987385, 0.158337, 7.74479
-21.3003, -70.721, 0.987084, 0.160203, 7.7448
-21.2324, -70.7044, 0.98681, 0.161882, 7.74481
-21.1645, -70.6877, 0.986533, 0.163561, 7.74482
-21.0891, -70.669, 0.986222, 0.165426, 7.74483
-21.0213, -70.6521, 0.98594, 0.167103, 7.74484
-20.9535, -70.635, 0.985654, 0.16878, 7.74485
-20.8782, -70.616, 0.985333, 0.170642, 7.74486
-20.8104, -70.5987, 0.985041, 0.172318, 7.74486
-20.7503, -70.5832, 0.98478, 0.173807, 7.74487
-20.675, -70.5638, 0.98445, 0.175667, 7.74488
-20.5999, -70.5441, 0.984116, 0.177528, 7.74489
-20.5247, -70.5244, 0.983778, 0.179388, 7.7449
-20.4572, -70.5065, 0.983472, 0.181061, 7.7449
-20.3746, -70.4845, 0.983093, 0.183105, 7.74491
-20.2996, -70.4643, 0.982745, 0.184963, 7.74492
-20.2321, -70.446, 0.982429, 0.186635, 7.74492
-20.1572, -70.4256, 0.982075, 0.188491, 7.74493
-20.0897, -70.4071, 0.981753, 0.190161, 7.74493
-20.0149, -70.3863, 0.981392, 0.192016, 7.74494
-19.94, -70.3655, 0.981027, 0.193871, 7.74495
-19.8652, -70.3445, 0.980659, 0.195725, 7.74495
-19.7905, -70.3233, 0.980287, 0.197578, 7.74496
-19.7233, -70.3042, 0.97995, 0.199245, 7.74496
-19.656, -70.2849, 0.979609, 0.200912, 7.74497
-19.5889, -70.2656, 0.979266, 0.202578, 7.74497
-19.5143, -70.2439, 0.978882, 0.204428, 7.74498
-19.4546, -70.2265, 0.978571, 0.205908, 7.74498
-19.3801, -70.2046, 0.97818, 0.207758, 7.74498
-19.313, -70.1847, 0.977825, 0.209425, 7.74499
-19.2311, -70.1603, 0.977387, 0.211458, 7.74499
-19.1642, -70.1402, 0.977026, 0.213121, 7.74499
-19.1047, -70.1223, 0.976702, 0.214599, 7.745
-19.0378, -70.102, 0.976335, 0.216262, 7.745
-18.9709, -70.0815, 0.975966, 0.217923, 7.745
-18.8892, -70.0564, 0.97551, 0.219953, 7.74501
-18.815, -70.0334, 0.975092, 0.221799, 7.74501
-18.7483, -70.0126, 0.974713, 0.223458, 7.74501
-18.6816, -69.9917, 0.974332, 0.225118, 7.74502
-18.6075, -69.9683, 0.973904, 0.226961, 7.74502
-18.5335, -69.9448, 0.973472, 0.228805, 7.74502
-18.4595, -69.9211, 0.973038, 0.230647, 7.74503
-18.3929, -69.8997, 0.972643, 0.232304, 7.74503
-18.3264, -69.8782, 0.972246, 0.233959, 7.74503
-18.2525, -69.8541, 0.971802, 0.235799, 7.74503
-18.1787, -69.8299, 0.971354, 0.237638, 7.74503
-18.1123, -69.808, 0.970948, 0.239292, 7.74504
-18.0459, -69.786, 0.970539, 0.240944, 7.74504
-17.9796, -69.7639, 0.970127, 0.242598, 7.74504
-17.906, -69.7392, 0.969666, 0.244433, 7.74504
-17.8324, -69.7143, 0.969202, 0.246267, 7.74504
-17.7809, -69.6969, 0.968875, 0.247551, 7.74505
-17.7073, -69.6718, 0.968405, 0.249383, 7.74505
-17.6265, -69.644, 0.967884, 0.251397, 7.74505
-17.5531, -69.6187, 0.967407, 0.253228, 7.74505
-17.4797, -69.5931, 0.966926, 0.255058, 7.74505
-17.4137, -69.5701, 0.966491, 0.256702, 7.74506
-17.3551, -69.5495, 0.966101, 0.258165, 7.74506
-17.2892, -69.5262, 0.96566, 0.25981, 7.74506
-17.2087, -69.4975, 0.965117, 0.26182, 7.74506
-17.1282, -69.4687, 0.96457, 0.263827, 7.74506
-17.0478, -69.4398, 0.964019, 0.265833, 7.74506
-16.9967, -69.4213, 0.963666, 0.267109, 7.74506
-16.9237, -69.3947, 0.96316, 0.26893, 7.74506
