# x/m, y/m, cos, sin, vel/(m/s)
-17.5618, 8.05839, -0.917549, 0.397623, 2.36706
-17.5843, 8.06637, -0.917751, 0.397156, 2.39087
-17.6047, 8.0736, -0.917935, 0.396731, 2.4123
-17.623, 8.08008, -0.9181, 0.396349, 2.43135
-17.6461, 8.08824, -0.918308, 0.395867, 2.45516
-17.6671, 8.09563, -0.918497, 0.395429, 2.47659
-17.6906, 8.10391, -0.918709, 0.394936, 2.5004
-17.7144, 8.11225, -0.918923, 0.394438, 2.52421
-17.7359, 8.11981, -0.919117, 0.393984, 2.54563
-17.7601, 8.12827, -0.919335, 0.393475, 2.56944
-17.8043, 8.14364, -0.919733, 0.392545, 2.6123
-17.8092, 8.14536, -0.919777, 0.392441, 2.61706
-17.8266, 8.15141, -0.919935, 0.392072, 2.63373
-17.8542, 8.16097, -0.920183, 0.391488, 2.65992
-17.8795, 8.16972, -0.920411, 0.390952, 2.68373
-17.9025, 8.17766, -0.920618, 0.390463, 2.70516
-17.9283, 8.18652, -0.920851, 0.389915, 2.72897
-17.9516, 8.19456, -0.921061, 0.389417, 2.7504
-17.9778, 8.20354, -0.921298, 0.388858, 2.77421
-18.0043, 8.21257, -0.921536, 0.388293, 2.79802
-18.0282, 8.22076, -0.921752, 0.387779, 2.81944
-18.0524, 8.22899, -0.92197, 0.387261, 2.84087
-18.0795, 8.23819, -0.922215, 0.386679, 2.86468
-18.1288, 8.25488, -0.922659, 0.385617, 2.90754
-18.1371, 8.25768, -0.922734, 0.385438, 2.91468
-18.1593, 8.26517, -0.922934, 0.384957, 2.93373
-18.1873, 8.27458, -0.923187, 0.384352, 2.95754
-18.2155, 8.28405, -0.923441, 0.383741, 2.98135
-18.2411, 8.29262, -0.923672, 0.383185, 3.00278
-18.2669, 8.30123, -0.923904, 0.382624, 3.02421
-18.2929, 8.30988, -0.924138, 0.382058, 3.04563
-18.322, 8.31955, -0.9244, 0.381424, 3.06944
-18.3484, 8.32829, -0.924638, 0.380847, 3.09087
-18.3779, 8.33805, -0.924904, 0.380201, 3.11468
-18.4077, 8.34786, -0.925172, 0.379548, 3.13849
-18.4377, 8.35772, -0.925442, 0.378889, 3.1623
-18.4679, 8.36763, -0.925714, 0.378224, 3.18611
-18.4954, 8.3766, -0.925961, 0.37762, 3.20754
-18.526, 8.3866, -0.926237, 0.376943, 3.23135
-18.5539, 8.39564, -0.926487, 0.376328, 3.25278
-18.585, 8.40573, -0.926766, 0.375638, 3.27659
-18.6164, 8.41587, -0.927048, 0.374942, 3.3004
-18.6448, 8.42504, -0.927303, 0.374311, 3.32183
-18.6766, 8.43526, -0.927589, 0.373603, 3.34564
-18.7087, 8.44553, -0.927876, 0.372888, 3.36944
-18.7377, 8.45481, -0.928137, 0.37224, 3.39087
-18.7703, 8.46516, -0.928428, 0.371513, 3.41468
-18.7997, 8.47452, -0.928692, 0.370853, 3.43611
-18.8327, 8.48495, -0.928986, 0.370114, 3.45992
-18.8659, 8.49543, -0.929283, 0.369368, 3.48373
-18.896, 8.50489, -0.929552, 0.368691, 3.50516
-18.9262, 8.51438, -0.929822, 0.368009, 3.52659
-18.9601, 8.52497, -0.930124, 0.367245, 3.5504
-18.9874, 8.53347, -0.930367, 0.366628, 3.56944
-19.0251, 8.54519, -0.930704, 0.365774, 3.59564
-19.0562, 8.55482, -0.93098, 0.365069, 3.61706
-19.091, 8.56556, -0.93129, 0.36428, 3.64087
-19.1224, 8.57525, -0.93157, 0.363563, 3.6623
-19.1541, 8.58497, -0.931851, 0.362841, 3.68373
-19.186, 8.59472, -0.932134, 0.362114, 3.70516
-19.2217, 8.60558, -0.93245, 0.361299, 3.72897
-19.254, 8.61539, -0.932736, 0.36056, 3.7504
-19.2901, 8.62631, -0.933056, 0.359732, 3.77421
-19.3228, 8.63618, -0.933345, 0.358982, 3.79564
-19.352, 8.64497, -0.933603, 0.35831, 3.81468
-19.3888, 8.65598, -0.933927, 0.357463, 3.83849
-19.4258, 8.66702, -0.934253, 0.35661, 3.8623
-19.463, 8.6781, -0.934581, 0.355751, 3.88611
-19.4967, 8.68809, -0.934877, 0.354971, 3.90754
-19.5307, 8.69811, -0.935175, 0.354185, 3.92897
-19.5648, 8.70815, -0.935475, 0.353394, 3.9504
-19.6029, 8.71932, -0.935809, 0.352508, 3.97421
-19.6374, 8.72941, -0.936111, 0.351705, 3.99564
-19.6876, 8.744, -0.93655, 0.350535, 4.02659
-19.7071, 8.74963, -0.936719, 0.350082, 4.03841
-19.7461, 8.7609, -0.93706, 0.34917, 4.062
-19.7854, 8.77219, -0.937401, 0.348251, 4.08544
-19.8209, 8.78238, -0.93771, 0.347418, 4.10642
-19.8606, 8.79371, -0.938055, 0.346486, 4.12962
-19.9046, 8.80619, -0.938436, 0.345453, 4.15498
-19.9488, 8.8187, -0.938819, 0.344412, 4.1802
-19.9771, 8.82668, -0.939063, 0.343745, 4.19615
-20.0137, 8.83694, -0.939379, 0.342881, 4.21657
-20.0586, 8.8495, -0.939766, 0.341819, 4.24142
-20.0956, 8.85979, -0.940083, 0.340944, 4.26163
-20.1369, 8.87123, -0.940438, 0.339965, 4.28397
-20.1784, 8.88268, -0.940794, 0.33898, 4.30621
-20.216, 8.893, -0.941115, 0.338087, 4.32611
-20.2537, 8.90333, -0.941437, 0.337189, 4.34592
-20.2874, 8.91252, -0.941725, 0.336385, 4.36346
-20.3298, 8.92401, -0.942085, 0.335375, 4.38528
-20.3724, 8.93551, -0.942446, 0.334358, 4.407
-20.4152, 8.94701, -0.942808, 0.333335, 4.42861
-20.4539, 8.95737, -0.943136, 0.332408, 4.44796
-20.5014, 8.97003, -0.943537, 0.331268, 4.47152
-20.5405, 8.98039, -0.943866, 0.33033, 4.49069
-20.5798, 8.99076, -0.944196, 0.329386, 4.50977
-20.6193, 9.00113, -0.944526, 0.328436, 4.52878
-20.6633, 9.01265, -0.944894, 0.327375, 4.54981
-20.7031, 9.02301, -0.945227, 0.326414, 4.56865
-20.7476, 9.03453, -0.945597, 0.325341, 4.58949
-20.7878, 9.0449, -0.94593, 0.324369, 4.60817
-20.8282, 9.05526, -0.946265, 0.323392, 4.62677
-20.8687, 9.06561, -0.9466, 0.32241, 4.6453
-20.9095, 9.07597, -0.946936, 0.321423, 4.66375
-20.9549, 9.08747, -0.94731, 0.32032, 4.68417
-21.0006, 9.09896, -0.947684, 0.31921, 4.7045
-21.0419, 9.10929, -0.948022, 0.318206, 4.72272
-21.0972, 9.12306, -0.948472, 0.31686, 4.74692
-21.1481, 9.13566, -0.948886, 0.315618, 4.76899
-21.176, 9.14254, -0.949113, 0.314937, 4.78097
-21.2227, 9.15398, -0.94949, 0.313797, 4.80089
-21.2696, 9.16541, -0.949868, 0.312651, 4.82073
-21.3214, 9.17797, -0.950284, 0.311383, 4.84246
-21.3735, 9.19051, -0.950701, 0.310108, 4.8641
-21.402, 9.19735, -0.950929, 0.309409, 4.87584
-21.4497, 9.20872, -0.951309, 0.30824, 4.89538
